Nr,Nazwisko i imię,1.1.,1.2.,2.,3.,4.,5.
,,14
1.,Chamarczuk Aldona,1,1,1,1,1,1
2.,Głyżewski Roman,1,1,1,1,3,1
3.,Golla Henryk,1,1,1,1,1,1
4.,Jęsiek-Barabasz Agnieszka,1,1,1,1,1,1
5.,Justyna Janusz,1,1,1,1,1,1
6.,Kolera Grzegorz,1,1,1,1,1,1
7.,Koronkiewicz Krzysztof,,,,,,
8.,Kulasek Krzysztof,-1,-1,-1,-1,-1,-1
9.,Pieniążkowski Jakub,,,,,,
10.,Piosik Łukasz,1,1,1,1,1,1
11.,Wełniak Stanisław,,,,,,
12.,Wegner Mariola,,,,,,
13.,Wojtuń Stanisław,1,1,1,1,1,1
14.,Zając Maciej,,,,,,
15.,Żelichowski Krzysztof,,,,,,
16.,Muzioł Zygmunt,-1,-1,-1,-1,-1,-1
