,,1.1.,1.2.,1.3.,1.4.,1.5.,1.6.,2.,3.,4.,5.,6.1,6.2.,6.3,6.4.,6.5,6.6.,6.7.,6.8.,6.9.,6.10.,6.11.,6.12.,7.,8.,9.,10.,11.,12.,13.,14.,15.
,,21
1.,Chamarczuk Aldona,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
2.,G�y�ewski Roman,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
3.,Golla Henryk,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
4.,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
5.,Justyna Janusz,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1
6.,Kolera Grzegorz,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
7.,Koronkiewicz Krzysztof,1,1,1,1,1,1,1,1,3,1,2,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3
8.,Kulasek Krzysztof,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2
9.,Pieni��kowski Jakub,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
10.,Piosik  �ukasz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.,Wegner Mariola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.,We�niak Stanis�aw,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,1,1,1,2
13.,Wojtu� Stanis�aw,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
14.,Zaj�c Maciej,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
15.,�elichowski Krzysztof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.,Muzioł Zygmunt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1


